2021-06-26 10:34:52,298 : Key.cmd
2021-06-26 10:34:52,814 : Key.cmd
2021-06-26 10:34:52,845 : Key.cmd
2021-06-26 10:34:52,876 : Key.cmd
2021-06-26 10:34:52,908 : Key.cmd
2021-06-26 10:34:52,939 : Key.cmd
2021-06-26 10:34:52,970 : Key.cmd
2021-06-26 10:34:53,001 : Key.cmd
2021-06-26 10:34:53,033 : Key.cmd
2021-06-26 10:34:53,064 : Key.cmd
2021-06-26 10:34:53,111 : Key.cmd
2021-06-26 10:34:53,142 : Key.cmd
2021-06-26 10:34:53,158 : 'f'
2021-06-26 10:34:56,658 : Key.ctrl_l
2021-06-26 10:34:57,158 : Key.ctrl_l
2021-06-26 10:34:57,205 : Key.ctrl_l
2021-06-26 10:34:57,236 : Key.ctrl_l
2021-06-26 10:34:57,267 : Key.ctrl_l
2021-06-26 10:34:57,267 : '\x06'
2021-06-26 10:34:58,033 : 't'
2021-06-26 10:34:59,486 : 'a'
2021-06-26 10:34:59,705 : 'k'
2021-06-26 10:35:00,033 : 'e'
2021-06-26 10:35:03,236 : 'c'
2021-06-26 10:35:03,314 : 'o'
2021-06-26 10:35:03,674 : 'm'
2021-06-26 10:35:03,877 : 'm'
2021-06-26 10:35:04,846 : 'a'
2021-06-26 10:35:05,002 : 'n'
2021-06-26 10:35:05,158 : 'd'
2021-06-26 10:35:05,971 : Key.enter
2021-06-26 10:35:06,830 : Key.enter
2021-06-26 10:36:26,933 : 'h'
2021-06-26 10:36:28,089 : 'h'
2021-06-26 10:36:28,323 : 'h'
2021-06-26 10:36:28,511 : 'h'
2021-06-26 10:36:29,011 : 'h'
2021-06-26 10:36:29,058 : 'h'
2021-06-26 10:36:29,089 : 'h'
2021-06-26 10:36:29,120 : 'h'
2021-06-26 10:36:29,151 : 'h'
2021-06-26 10:36:29,183 : 'h'
2021-06-26 10:36:29,214 : 'h'
2021-06-26 10:36:29,245 : 'h'
2021-06-26 10:36:29,276 : 'h'
2021-06-26 10:36:29,323 : 'h'
2021-06-26 10:36:29,354 : 'h'
2021-06-26 10:36:30,026 : Key.enter
2021-06-26 10:36:30,823 : 'h'
2021-06-26 10:36:31,089 : Key.enter
2021-06-26 10:36:31,261 : Key.enter
2021-06-26 10:36:31,417 : 'h'
2021-06-26 10:36:31,651 : Key.enter
2021-06-26 10:36:32,011 : 'h'
2021-06-26 10:36:32,167 : Key.enter
2021-06-26 10:36:32,354 : 'h'
2021-06-26 10:36:32,542 : Key.enter
2021-06-26 10:36:32,667 : 'h'
2021-06-26 10:36:32,857 : Key.enter
2021-06-26 10:36:32,951 : 'h'
2021-06-26 10:36:33,122 : Key.enter
2021-06-26 10:36:33,216 : 'h'
